Data,Kurs
2003-12-22,2.989
2003-12-23,2.9773
2003-12-24,2.9843
2003-12-29,2.9936
2003-12-30,3.013
2003-12-31,3.0281
2004-01-02,3.0194
2004-01-05,3.0038
2004-01-06,2.9838
2004-01-07,2.9812
2004-01-08,2.9716
2004-01-09,2.9947
2004-01-12,3.0017
2004-01-13,3.009
2004-01-14,3.0306
2004-01-15,3.0288
2004-01-16,3.0165
2004-01-19,3.0039
2004-01-20,3.0134
2004-01-21,3.0111
2004-01-22,3.0029
2004-01-23,2.9918
2004-01-26,3.0047
2004-01-27,3.0132
2004-01-28,3.0205
2004-01-29,3.0341
2004-01-30,3.0494
2004-02-02,3.0446
2004-02-03,3.0697
2004-02-04,3.0473
2004-02-05,3.0748
2004-02-06,3.0852
2004-02-09,3.0889
2004-02-10,3.0805
2004-02-11,3.0879
2004-02-12,3.0727
2004-02-13,3.0779
2004-02-16,3.0781
2004-02-17,3.0929
2004-02-18,3.103
2004-02-19,3.1019
2004-02-20,3.1125
2004-02-23,3.1031
2004-02-24,3.0899
2004-02-25,3.1022
2004-02-26,3.074
2004-02-27,3.0881
2004-03-01,3.1164
2004-03-02,3.077
2004-03-03,3.0637
2004-03-04,3.0517
2004-03-05,3.0572
2004-03-08,3.0455
2004-03-09,3.0304
2004-03-10,3.0151
2004-03-11,3.0422
2004-03-12,3.0433
2004-03-15,3.0299
2004-03-16,3.0149
2004-03-17,3.016
2004-03-18,3.0335
2004-03-19,3.0371
2004-03-22,3.0319
2004-03-23,3.0347
2004-03-24,3.0298
2004-03-25,3.0391
2004-03-26,3.0592
2004-03-29,3.0365
2004-03-30,3.0371
2004-03-31,3.0409
2004-04-01,3.0491
2004-04-02,3.0403
2004-04-05,3.0144
2004-04-06,3.0162
2004-04-07,3.027
2004-04-08,3.0474
2004-04-09,3.052
2004-04-13,3.0546
2004-04-14,3.061
2004-04-15,3.1088
2004-04-16,3.0836
2004-04-19,3.079
2004-04-20,3.0756
2004-04-21,3.047
2004-04-22,3.0581
2004-04-23,3.0544
2004-04-26,3.0562
2004-04-27,3.079
2004-04-28,3.0891
2004-04-29,3.1015
2004-04-30,3.0983
2004-05-04,3.0774
